,0
0,0.5891894976640372
1,0.6003415868255068
2,0.6432302417421004
3,0.6453246959915173
4,0.587871178495762
5,0.6816057195602374
6,0.6092416690767569
7,0.6276557411166087
8,0.5922292739926058
9,0.6358329059452895
10,0.6733673577918767
11,0.6192483455944126
12,0.629892078411709
13,0.6061219014699715
14,0.6037071762419359
15,0.5888416391237394
16,0.5986489933205555
17,0.6510575253391415
18,0.5918706162038398
19,0.5873379951113811
20,0.6859026942801554
21,0.6085045430087137
22,0.5570979813131767
23,0.6770368088619824
24,0.5957274927515573
25,0.5609131432614084
26,0.6471314557560858
27,0.5906506134180317
28,0.6025781741258525
29,0.5393698505167164
30,0.5490474825323948
31,0.5835857231718471
32,0.5587628217074432
33,0.6446785235052003
34,0.624411423355337
35,0.5752635149990478
36,0.6500634572135998
37,0.5684363737688949
38,0.66440026314772
39,0.5903703720424799
40,0.6067806140458363
41,0.6624091258868398
42,0.5834301674787069
43,0.5831657971684565
44,0.6495297083595538
45,0.5678079674507038
46,0.5708912123477972
47,0.6424739770919307
48,0.6381592079545235
49,0.6229090011696161
50,0.6676222142708417
51,0.623197449516736
52,0.6056473262165796
53,0.5922740630660113
54,0.6392396142031431
55,0.5657406037027932
56,0.59064655828615
57,0.5761516868294398
58,0.5782624535415561
59,0.5835506042194822
60,0.6359636105672201
61,0.5759310319108345
62,0.5578387619664124
63,0.6489262333294936
64,0.6393617761420719
65,0.5759838197248245
66,0.6467143683777576
67,0.5986552297781432
68,0.6335653514351582
69,0.5921200204392815
70,0.5656870641414443
71,0.6003349521788508
72,0.5939735008528422
73,0.6346103463979735
74,0.6143305924604088
75,0.5976988351152054
76,0.6039727465201866
77,0.620780053169946
78,0.6426587232023105
79,0.620620208679479
80,0.6345609074365592
81,0.6366383387037844
82,0.5945635319210092
83,0.618961821862135
84,0.620224759212892
85,0.5886667509854064
86,0.6056552185102955
87,0.7107404716880998
88,0.6000722184433066
89,0.5954312444864811
90,0.5512017715436438
91,0.6293272608256156
92,0.6282061723786017
93,0.6639908482467286
94,0.7094268734228939
95,0.6490882564562538
96,0.6842982178070591
97,0.6210523452029751
98,0.6440972557906218
99,0.6800496995371899
100,0.5451846299927458
101,0.6503212635491901
102,0.5491642260640809
103,0.5936476671872145
104,0.6265118015752053
105,0.574382473313198
106,0.6036786472230221
107,0.5901963283361978
108,0.6188521963633856
109,0.5913198645922647
110,0.6495540263704067
111,0.6088716912944702
112,0.6061119888110674
113,0.5998001268260305
114,0.6181190799778011
115,0.5671407701786367
116,0.5453213989253595
117,0.6472511900517903
118,0.5859519989042409
119,0.581218797148737
120,0.562493847355919
121,0.5704696805879471
122,0.6250248879030044
123,0.6345448711906446
124,0.6306479778471122
125,0.6029106651571986
126,0.6570469350447873
127,0.6088466625847898
128,0.6617963882557625
129,0.6863615758989445
130,0.6091601703136097
131,0.5834272918457415
132,0.8146820603846159
133,0.6960613656890985
134,0.6034996093702717
135,0.5991407058136577
136,0.6004163963591647
137,0.6247129892120102
138,0.5833914434947878
139,0.568289176082411
140,0.6126135651509409
141,0.6310149549850917
142,0.5963567233411132
143,0.6263179888479289
144,0.6514957581813873
145,0.5601173337302181
146,0.580090457632092
147,0.6702763209032567
148,0.6160475024861531
149,0.5917063214181433
150,0.6539100240587626
151,0.6327038274873755
152,0.5917893835921937
153,0.6204478741305384
154,0.6913794960284563
155,0.6107689115762374
156,0.645359312555028
157,0.6101428603604997
158,0.6484042978691732
159,0.6749549547951528
160,0.5862633351129728
161,0.6208685408876524
162,0.5967466912564683
163,0.5540933677020637
164,0.5930995228564916
165,0.5809895942402363
166,0.6272785759976489
167,0.6068330372388714
168,0.6398955318058414
169,0.6120612214792451
170,0.679257879962271
171,0.5813987279165667
172,0.5895481320289407
173,0.6294955616324427
174,0.6274828336047363
175,0.5970696620134384
176,0.6484847479474695
177,0.5565350758899181
178,0.5584961615010231
179,0.5804414926642548
180,0.5893679181596575
181,0.6641813689422924
182,0.6077178109362513
183,0.548689317626203
184,0.5827309681594881
185,0.5629465534881082
186,0.6400276456224234
187,0.6133959377290712
188,0.6180260954078364
189,0.5879726941548631
190,0.5496233475347397
191,0.5820485888829413
192,0.634022816214455
193,0.654409118962185
194,0.5723834554850449
195,0.5643556002671716
196,0.6122227368321274
197,0.6150387625137131
198,0.6733328719960293
199,0.6395679511207302
200,0.5807776731704493
201,0.6140790127480744
202,0.6018614123818768
203,0.6035994776501694
204,0.5896500402020537
205,0.625788764683101
206,0.6242471734966091
207,0.6205264759896648
208,0.6579086987155165
209,0.603358769381207
210,0.585411516937351
211,0.5757032234655477
212,0.6059268924213593
213,0.5978717048690452
214,0.5901370350247743
215,0.6043085024615855
216,0.6154146035174387
217,0.6013401407008345
218,0.6410040153904334
219,0.7002877466828992
220,0.5531667772285762
221,0.6198010666375875
222,0.6372013482554033
223,0.5999958770012774
224,0.5984008987283427
225,0.6745766328920176
226,0.6372229425925058
227,0.6321970743842221
228,0.5864072686490042
229,0.5968114367174099
230,0.6219095013822521
231,0.5905172103181225
232,0.6327293496090313
233,0.587538628132692
234,0.5732978862337373
235,0.6758237526999076
236,0.6034233599290225
237,0.602825594934613
238,0.6872993968398706
239,0.5673458064681234
240,0.5695659226432405
241,0.6024309687497034
242,0.6134281846113011
243,0.6114760396835784
244,0.5974729101456213
245,0.6835826308035252
246,0.5823991162596367
247,0.561724834981363
248,0.6879342759835055
249,0.6254021235436772
250,0.5849058301652517
251,0.5854829497911299
252,0.6025780140804327
253,0.5954854423777616
254,0.6083854188413031
255,0.6028984099134047
256,0.6663298762404352
257,0.6088755372228369
258,0.6492015172471043
259,0.6998192070652267
260,0.5862724523290945
261,0.5849564166231048
262,0.56049040965788
263,0.6221076807507585
264,0.5663859897353817
265,0.6132145594918207
266,0.5830385951149004
267,0.5535880358406182
268,0.6334834906215694
269,0.5862888378750862
270,0.6179641169928437
271,0.5620293477809548
272,0.6958609953958522
273,0.5608285778534061
274,0.6498921694501463
275,0.6165458668101108
276,0.6573941771604103
277,0.5869609017614432
278,0.6524445801281755
279,0.6274231003363799
280,0.583733187122886
281,0.6270134547460853
282,0.6329743014519419
283,0.6121997552474887
284,0.6510511877686442
285,0.6028071249818432
286,0.5848198512546101
287,0.6171484464871144
288,0.6082355675637927
289,0.6181226190427994
290,0.5961921328368159
291,0.6554244514853035
292,0.5961371892572143
293,0.6911853117245299
294,0.6237700884191766
295,0.6082998766511555
296,0.6048047728918999
297,0.5988949903735798
298,0.679324616986571
299,0.6307171346920671
