,0
0,0.6502545524208762
1,0.6497840477450669
2,0.5989864180734712
3,0.6312349199426723
4,0.5992577034565534
5,0.6298406784880491
6,0.5953410031961955
7,0.5526858787561912
8,0.5775281448261624
9,0.5592241738778955
10,0.5999421517247298
11,0.7599099434292057
12,0.5683975008434148
13,0.647322336803711
14,0.6099461734455214
15,0.6063448175990263
16,0.6393672111580535
17,0.6007633523275364
18,0.5983542189407564
19,0.6110896794930744
20,0.719796951957099
21,0.6032065574984714
22,0.6003281396172161
23,0.6399446749067108
24,0.7181107630607797
25,0.6950230605185042
26,0.6214966069859115
27,0.6593138979868605
28,0.6208022649720388
29,0.6760189534564156
30,0.5998246284877137
31,0.6333843644652345
32,0.5999434101971887
33,0.6399958968748757
34,0.6658394838450167
35,0.6351583373886001
36,0.6910800575375399
37,0.6296136994902192
38,0.6797568724893523
39,0.6018674236907577
40,0.6206078619429523
41,0.617509369556647
42,0.6978885803000761
43,0.6277769045075866
44,0.6012422198751505
45,0.6038299870588884
46,0.5996248813753206
47,0.7199108388904223
48,0.5765939593975263
49,0.6578443879317766
50,0.601193184891777
51,0.6252714410228228
52,0.6266271505934365
53,0.6466823312533438
54,0.5986563082756949
55,0.6045778987808047
56,0.6198665018451612
57,0.6508893936160172
58,0.5600130921500088
59,0.6149155018060577
60,0.7999865073529374
61,0.5999675660563152
62,0.5855001814891435
63,0.6398992360710827
64,0.6317773326976793
65,0.6450970168817572
66,0.6273823009939785
67,0.6644699077544772
68,0.6203819872778382
69,0.6799160687263281
70,0.6425172063605019
71,0.5983201453489077
72,0.5998496110970338
73,0.5622723906292973
74,0.6864829729224328
75,0.6102645262349774
76,0.6325330256391564
77,0.6799617694534721
78,0.5917175788226714
79,0.6400527492040994
80,0.6799998671919811
81,0.6799216953893087
82,0.5961222145754091
83,0.7199743847694735
84,0.6481526012971708
85,0.6142281354658929
86,0.6068516490990554
87,0.5931968173457303
88,0.7821773342847336
89,0.599970972018192
90,0.639338716773405
91,0.6187138744669924
92,0.6632954923233747
93,0.6053935561399482
94,0.5691868202931517
95,0.6159454728262148
96,0.7198202007020307
97,0.5618379723666491
98,0.6399726114807368
99,0.6125440843203424
100,0.6655117340842293
101,0.7599808852317856
102,0.5702579896539456
103,0.5999254466037034
104,0.5717524465375499
105,0.6076901855522191
106,0.7999114745981286
107,0.63342283580558
108,0.6399404493450706
109,0.567391890156517
110,0.7547595041688663
111,0.6411947721072129
