,0
0,0.20700748127631013
1,0.1901486538887045
2,0.1877958350607417
3,0.19382359182880105
4,0.24083007612563725
5,0.1873644064977649
6,0.19997607771313913
7,0.23992173963823626
8,0.20604799494613546
9,0.18474814016367408
10,0.1973397045709852
11,0.19377960515509185
12,0.17721589272470006
13,0.2071239621327767
14,0.19599989816869076
15,0.21199944995580144
16,0.21598235764580884
17,0.18268256969593227
18,0.19475243477604048
19,0.184385076273587
20,0.19156667716853873
21,0.18759491762332708
22,0.23599427062626216
23,0.19221425294510458
24,0.19914659519968714
25,0.22799321682526227
26,0.2255339367867046
27,0.21857124384451462
28,0.19638756622081352
29,0.18771001629068565
30,0.19880121531091863
31,0.21199980561690457
32,0.18611455493578483
33,0.2065445835848815
34,0.21599798181359497
35,0.19079100696359635
36,0.1923153933108237
37,0.21036968784632368
38,0.19769754842763976
39,0.20047725628813526
40,0.18520441968868437
41,0.1868905170998228
42,0.1892160330949824
43,0.19998164851459124
44,0.18284503115167
45,0.22491185328390162
46,0.18818035536462496
47,0.19132377080984778
48,0.21013300733431475
49,0.19865574209567996
50,0.23599925803054336
51,0.19448362325178134
52,0.19704045585868785
53,0.20731726746502616
54,0.19317405443632177
55,0.20817698561626635
56,0.18165382015747533
57,0.18509902485728694
58,0.18857796474223426
59,0.1839950528078814
60,0.1897674937677477
61,0.203944951594373
62,0.20399533335911207
63,0.20713268332151577
64,0.22399602842968855
65,0.19984358032655386
66,0.19957454025562643
67,0.21994804470421453
68,0.1903618837782418
69,0.1946250771451636
70,0.18539040273268156
71,0.18288999171899453
72,0.1890384366760869
73,0.20019467986437764
74,0.2103520521945548
75,0.18230159856933967
76,0.19889912832581375
77,0.19122769398527206
78,0.20083186994090524
79,0.203077584989855
80,0.20799153698914125
81,0.2067121642103785
82,0.20346546847292968
83,0.17947996758881857
84,0.19560275463891383
85,0.20305939407045165
86,0.19198205787713213
87,0.18662030321883477
88,0.23684202638876758
89,0.18209684932617706
90,0.2279566049673695
91,0.2318814543629732
92,0.20391598691585092
93,0.20091487920935147
94,0.19832202036103985
95,0.18791437359866428
96,0.17338704100628474
97,0.20732990951367458
98,0.2039905538893605
99,0.20032246434366216
100,0.21411160346222546
101,0.20124398528694806
102,0.21591459179215947
103,0.2559991393535145
104,0.19425417368033668
105,0.19198747428166713
106,0.192673704147066
107,0.20375409379447676
