TimeMCS,cellID,x,y
0,1,50,50
10,1,47.696428571428584,48.196428571428584
20,1,49,48.69863013698633
30,1,48.589743589743584,48.910256410256395
40,1,48.5945945945946,48.6351351351351
50,1,48.9076923076923,48.10769230769231
60,1,49.29577464788732,48.070422535211264
70,1,49.45588235294117,47.749999999999986
80,1,49.97435897435897,47.88461538461539
90,1,50.223880597014954,48.59701492537315
100,1,50.43478260869566,48.275362318840585
110,1,51.000000000000014,48.38095238095239
120,1,51.60273972602739,47.87671232876713
130,1,51.89041095890409,47.53424657534246
140,1,51.947368421052644,47.44736842105263
150,1,51.97468354430381,47.39240506329114
160,1,51.835616438356176,47.43835616438357
170,1,51.776119402985074,47.8955223880597
180,1,52.249999999999986,47.79166666666667
190,1,51.625000000000014,48.13888888888891
200,1,50.81081081081082,47.13513513513514
210,1,51.053333333333335,47.306666666666686
220,1,50.90000000000002,47.07142857142857
230,1,50.51315789473686,46.57894736842106
240,1,51.000000000000014,46.91304347826087
250,1,51.57746478873241,47.98591549295774
260,1,51.93589743589746,47.62820512820511
270,1,52.22666666666667,46.65333333333332
280,1,52.72972972972973,46.94594594594594
290,1,53.3235294117647,47.51470588235295
300,1,53.0281690140845,47.25352112676054
310,1,52.9848484848485,47.54545454545456
320,1,53.13698630136984,47.08219178082194
330,1,52.10294117647058,46.99999999999999
340,1,52.44594594594594,47.351351351351354
350,1,52.64383561643837,48.17808219178083
360,1,52.42465753424657,48.5068493150685
370,1,52.88571428571428,48.414285714285704
380,1,52.66666666666668,47.85507246376812
390,1,52.81081081081081,47.72972972972974
400,1,52.128571428571455,47.84285714285714
410,1,51.88,47.31999999999999
420,1,52.44285714285714,46.97142857142856
430,1,52.45454545454547,46.14285714285714
440,1,52.466666666666676,46.18666666666667
450,1,52.60563380281691,46.57746478873239
460,1,52.06578947368421,46.42105263157895
470,1,52.43478260869565,46.768115942029
480,1,51.75,46.83333333333334
490,1,51.63235294117648,46.9264705882353
500,1,52.47945205479452,47.08219178082192
510,1,52.3661971830986,47.16901408450703
520,1,51.52054794520546,47.506849315068486
530,1,51.479452054794535,47.63013698630137
540,1,51.89855072463768,47.304347826086975
550,1,51.985074626865675,47.388059701492544
560,1,52.231884057971,46.79710144927536
