time,id,com_1,com_2,area,surface
8600.0,0,55.34375,66.40625,297.7207031,32.0,64.0
8700.0,0,54.125,64.71875,233.6572266,32.0,64.0
8800.0,0,55.696969697,62.66666667,192.8999082,33.0,64.0
8900.0,0,57.882352940000004,61.882352940000004,203.3217993,34.0,64.0
9000.0,0,57.5,63.111111109999996,228.1512346,36.0,66.0
9100.0,0,58.42424242,62.15151515,218.6271809,33.0,66.0
9200.0,0,58.51515152,60.60606061,184.9963269,33.0,66.0
9300.0,0,58.625,59.21875,159.3759766,32.0,62.0
9400.0,0,57.59375,60.09375,159.5488281,32.0,64.0
9500.0,0,57.84848485,60.09090909,163.4251607,33.0,62.0
9600.0,0,59.375,59.71875,182.3447266,32.0,64.0
9700.0,0,58.375,60.59375,182.3681641,32.0,62.0
9800.0,0,57.62857143,57.77142857,118.5902041,35.0,64.0
9900.0,0,59.21212121,59.06060606,166.9577594,33.0,64.0
10000.0,0,56.78125,59.8125,142.2705078,32.0,64.0
0.0,1,50.0,50.0,0.0,37.0,64.0
100.0,1,52.064516129,49.709677419,4.346514048,31.0,62.0
200.0,1,52.411764706,49.882352941,5.830449827,34.0,64.0
300.0,1,50.774193548,51.225806452,2.101977107,31.0,64.0
400.0,1,49.606060606,50.666666667,0.5996326905,33.0,64.0
500.0,1,50.333333333,49.333333333,0.5555555556,33.0,64.0
600.0,1,50.090909091,50.848484848,0.7281910009,33.0,62.0
700.0,1,51.96875,50.34375,3.994140625,32.0,62.0
800.0,1,52.0,49.0,5.0,35.0,64.0
900.0,1,54.060606061,47.939393939,20.73461892,33.0,64.0
1000.0,1,54.0625,50.375,16.64453125,32.0,62.0
1100.0,1,54.612903226,50.548387097,21.57960458,31.0,62.0
1200.0,1,53.766666667,49.533333333,14.40555556,30.0,62.0
1300.0,1,52.096774194,47.838709677,9.067637877,31.0,62.0
1400.0,1,52.2,47.457142857,11.30612245,35.0,64.0
1500.0,1,51.676470588,49.294117647,3.308823529,34.0,66.0
1600.0,1,51.4,47.633333333,7.561111111,30.0,62.0
1700.0,1,52.272727273,46.3636363636,18.38842975,33.0,62.0
1800.0,1,52.941176471,47.058823529,17.30103806,34.0,64.0
1900.0,1,53.212121212,46.3939393939,23.32139578,33.0,64.0
2000.0,1,52.28125,47.25,12.76660156,32.0,62.0
2100.0,1,51.15625,48.28125,4.291015625,32.0,62.0
2200.0,1,49.90625,47.71875,5.212890625,32.0,62.0
2300.0,1,48.64516129,49.290322581,2.339229969,31.0,62.0
2400.0,1,48.64516129,49.35483871,2.25182102,31.0,62.0
2500.0,1,47.117647059,52.235294118,13.30449827,34.0,64.0
2600.0,1,47.548387097,52.64516129,13.00728408,31.0,64.0
2700.0,1,45.91428571429,52.314285714,22.04897959,35.0,64.0
2800.0,1,43.484848485,53.484848485,54.59136823,33.0,66.0
2900.0,1,42.5,52.705882353,63.57179931,34.0,62.0
3000.0,1,43.0,52.264705882,54.12889273,34.0,62.0
3100.0,1,44.176470588,52.676470588,41.07698962,34.0,64.0
3200.0,1,45.1935483871,53.161290323,33.09573361,31.0,64.0
3300.0,1,44.5,53.0,39.25,32.0,62.0
3400.0,1,44.903225806,50.838709677,26.6805411,31.0,62.0
3500.0,1,44.818181818,48.212121212,30.04775023,33.0,64.0
3600.0,1,45.40625,49.84375,21.12695312,32.0,64.0
3700.0,1,46.3636363636,50.272727273,13.29752066,33.0,62.0
3800.0,1,45.21875,49.90625,22.86914062,32.0,64.0
3900.0,1,48.0,51.34375,5.805664062,32.0,64.0
4000.0,1,48.78125,50.21875,1.533203125,32.0,62.0
4100.0,1,48.84375,50.71875,1.853515625,32.0,62.0
4200.0,1,49.121212121,50.484848485,1.007346189,33.0,64.0
4300.0,1,46.2121212121,49.515151515,14.58310376,33.0,64.0
4400.0,1,46.5588235294,50.676470588,12.29930796,34.0,64.0
4500.0,1,45.7272727273,51.363636364,20.11570248,33.0,62.0
4600.0,1,44.125,51.8125,37.80078125,32.0,62.0
4700.0,1,43.935483871,50.838709677,37.4817898,31.0,64.0
4800.0,1,42.64516129,51.548387097,56.49115505,31.0,64.0
4900.0,1,41.5,52.5,78.5,36.0,64.0
5000.0,1,43.0,51.303030303,50.69788797,33.0,66.0
5100.0,1,42.606060606,51.151515152,55.99632691,33.0,64.0
5200.0,1,41.333333333,50.566666667,75.43222222,30.0,60.0
5300.0,1,41.5625,51.0,72.19140625,32.0,62.0
5400.0,1,42.0,50.935483871,64.87513007,31.0,62.0
5500.0,1,43.382352941,50.323529412,43.89792388,34.0,64.0
5600.0,1,44.411764706,51.176470588,32.61245675,34.0,64.0
5700.0,1,41.735294118,52.0,72.30536332,34.0,62.0
5800.0,1,41.323529412,52.294117647,80.54411765,34.0,64.0
5900.0,1,39.885714286,52.228571429,107.2653061,35.0,66.0
6000.0,1,39.625,51.5,109.890625,32.0,62.0
6100.0,1,41.352941176,49.735294118,74.8416955,34.0,64.0
6200.0,1,42.96969697,49.181818182,50.09458219,33.0,62.0
6300.0,1,43.685714286,51.914285714,43.53469388,35.0,64.0
6400.0,1,43.228571429,50.0,45.8522449,35.0,64.0
6500.0,1,44.484848485,49.212121212,31.03764922,33.0,64.0
6600.0,1,43.029411765,48.088235294,52.24394464,34.0,64.0
6700.0,1,43.612903226,46.1935483871,55.28407908,31.0,62.0
6800.0,1,44.612903226,46.935483871,38.41207076,31.0,62.0
6900.0,1,46.1612903226,48.0,18.73569199,31.0,64.0
7000.0,1,46.90625,48.71875,11.21289062,32.0,64.0
7100.0,1,45.7058823529,50.5,18.68944637,34.0,62.0
7200.0,1,45.7352941176,51.911764706,21.84256055,34.0,64.0
7300.0,1,45.2580645161,52.032258065,26.61602497,31.0,62.0
7400.0,1,43.96875,51.25,37.93847656,32.0,64.0
7500.0,1,43.774193548,50.258064516,38.82726327,31.0,62.0
7600.0,1,42.0,47.5,70.25,34.0,62.0
7700.0,1,41.1875,46.40625,90.57519531,32.0,64.0
7800.0,1,40.388888889,49.138888889,93.11496914,36.0,64.0
7900.0,1,39.9,48.933333333,103.1477778,30.0,62.0
8000.0,1,39.571428571,48.942857143,109.8726531,35.0,64.0
8100.0,1,40.0,47.735294118,105.1288927,34.0,62.0
8200.0,1,38.866666667,45.6666666667,142.7288889,30.0,64.0
8300.0,1,39.058823529,44.205882353,153.2811419,34.0,64.0
8400.0,1,38.344827586,44.310344828,168.21522,29.0,62.0
8500.0,1,37.411764706,45.4117647059,179.5155709,34.0,64.0
8600.0,1,38.484848485,46.1515151515,147.40955,33.0,62.0
8700.0,1,40.620689655,46.5172413793,100.1010702,29.0,62.0
8800.0,1,43.060606061,48.515151515,50.35996327,33.0,64.0
8900.0,1,44.424242424,45.696969697,49.60514233,33.0,64.0
9000.0,1,43.0,45.8387096774,66.31633715,31.0,64.0
9100.0,1,41.875,45.9375,82.51953125,32.0,62.0
